SubregionName,CountryName,RegionWorldBank
Caribbean,Dominican Republic,Latin America & Caribbean
Caribbean,Haiti,Latin America & Caribbean
Central America,Guatemala,Latin America & Caribbean
Central America,Honduras,Latin America & Caribbean
Central Asia,Kyrgyz Republic,Europe & Central Asia
Central Asia,Tajikistan,Europe & Central Asia
Eastern Africa,Burundi,Sub-Saharan Africa
Eastern Africa,Comoros,Sub-Saharan Africa
Eastern Africa,Ethiopia,Sub-Saharan Africa
Eastern Africa,Kenya,Sub-Saharan Africa
Eastern Africa,Madagascar,Sub-Saharan Africa
Eastern Africa,Malawi,Sub-Saharan Africa
Eastern Africa,Mozambique,Sub-Saharan Africa
Eastern Africa,Rwanda,Sub-Saharan Africa
Eastern Africa,Tanzania,Sub-Saharan Africa
Eastern Africa,Uganda,Sub-Saharan Africa
Eastern Africa,Zambia,Sub-Saharan Africa
Eastern Africa,Zimbabwe,Sub-Saharan Africa
Eastern Europe,Moldova,Europe & Central Asia
Middle Africa,Angola,Sub-Saharan Africa
Middle Africa,Cameroon,Sub-Saharan Africa
Middle Africa,Chad,Sub-Saharan Africa
Middle Africa,Congo,Sub-Saharan Africa
Middle Africa,Congo Democratic Republic,Sub-Saharan Africa
Middle Africa,Gabon,Sub-Saharan Africa
Middle Africa,Sao Tome and Principe,Sub-Saharan Africa
North Africa,Egypt,Middle East & North Africa
North Africa,Morocco,Middle East & North Africa
Pacific Islands,Papua New Guinea,East Asia & Pacific
South America,Bolivia,Latin America & Caribbean
South America,Colombia,Latin America & Caribbean
South America,Guyana,Latin America & Caribbean
South America,Peru,Latin America & Caribbean
South Asia,Afghanistan,South Asia
South Asia,Bangladesh,South Asia
South Asia,India,South Asia
South Asia,Maldives,South Asia
South Asia,Nepal,South Asia
South Asia,Pakistan,South Asia
Southeast Asia,Cambodia,East Asia & Pacific
Southeast Asia,Indonesia,East Asia & Pacific
Southeast Asia,Myanmar,East Asia & Pacific
Southeast Asia,Philippines,East Asia & Pacific
Southeast Asia,Timor-Leste,East Asia & Pacific
Southern Africa,Eswatini,Sub-Saharan Africa
Southern Africa,Lesotho,Sub-Saharan Africa
Southern Africa,Namibia,Sub-Saharan Africa
Southern Africa,South Africa,Sub-Saharan Africa
Southern Europe,Albania,Europe & Central Asia
West Asia,Armenia,Europe & Central Asia
West Asia,Azerbaijan,Europe & Central Asia
West Asia,Jordan,Middle East & North Africa
West Asia,Turkey,Europe & Central Asia
West Asia,Yemen,Middle East & North Africa
Western Africa,Benin,Sub-Saharan Africa
Western Africa,Burkina Faso,Sub-Saharan Africa
Western Africa,Cote d'Ivoire,Sub-Saharan Africa
Western Africa,Gambia,Sub-Saharan Africa
Western Africa,Ghana,Sub-Saharan Africa
Western Africa,Guinea,Sub-Saharan Africa
Western Africa,Liberia,Sub-Saharan Africa
Western Africa,Mali,Sub-Saharan Africa
Western Africa,Niger,Sub-Saharan Africa
Western Africa,Nigeria,Sub-Saharan Africa
Western Africa,Senegal,Sub-Saharan Africa
Western Africa,Sierra Leone,Sub-Saharan Africa
Western Africa,Togo,Sub-Saharan Africa
