tgroup,SubregionName,study,author,year,num_we,denom_we,num_unwe,denom_unwe,prop_dom,prop_dom_se,prop_dom_low,prop_dom_upp
East Asia & Pacific,Pacific Islands,Papua New Guinea,Papua New Guinea,2017,3779.650187,9114.739549,3272,8967,0.38720484457794135,0.018450493562404593,0.3510417422515757,0.423367946904307
East Asia & Pacific,Southeast Asia,Cambodia,Cambodia,2014,1200.718441,7232.708036,1271,7145,0.16554780718158552,0.01165235815352035,0.1427090999771426,0.18838651438602844
East Asia & Pacific,Southeast Asia,Indonesia,Indonesia,2012,6106.387961,16816.753451,7994,17855,0.3602946250603228,0.01109760767543287,0.3385432328502904,0.38204601727035514
East Asia & Pacific,Southeast Asia,Myanmar,Myanmar,2016,2687.312061,4275.873417,3171,4802,0.6269687560865499,0.017985035548704773,0.5917179548713237,0.6622195573017761
East Asia & Pacific,Southeast Asia,Philippines,Philippines,2017,1944.804515,9648.089246,2532,10339,0.19629052100420682,0.011547240903358536,0.17365784437889237,0.21892319762952128
East Asia & Pacific,Southeast Asia,Timor-Leste,Timor-Leste,2016,3773.908714,7331.067969,3716,7211,0.5140586246932756,0.019895966972735213,0.4750623839106932,0.5530548654758579
Europe & Central Asia,Central Asia,Kyrgyz Republic,Kyrgyz Republic,2012,15.814288999999999,4054.566303,18,4335,0.0038737551776887452,0.0018113106314377476,3.2357309242530413e-4,0.007423937262952186
Europe & Central Asia,Central Asia,Tajikistan,Tajikistan,2017,753.312401,6471.3258940000005,766,6179,0.11614376435342659,0.011526927762010109,0.0935509016337222,0.13873662707313097
Europe & Central Asia,Eastern Europe,Moldova,Moldova,2005,12.300066000000001,1586.4530320000001,10,1548,0.007730740546032109,0.00241857111936344,0.002990323463025143,0.012471157629039074
Europe & Central Asia,Southern Europe,Albania,Albania,2017,11.319526,2536.26926,17,2741,0.004419654321885659,0.0014204793566605922,0.0016355043936648614,0.007203804250106457
Europe & Central Asia,West Asia,Armenia,Armenia,2016,2.273277,1663.361781,2,1713,0.0013594417570591657,0.0011780399259866193,-9.495251138761937e-4,0.003668408627994525
Europe & Central Asia,West Asia,Azerbaijan,Azerbaijan,2006,493.643405,2271.093155,464,2280,0.21570300508511872,0.02302691855149671,0.17057007630886886,0.26083593386136855
Europe & Central Asia,West Asia,Turkey,Turkey,2013,75.747188,3309.333423,122,3621,0.022773940593966674,0.0032276116353220185,0.01644779818248385,0.029100083005449497
Latin America & Caribbean,Caribbean,Dominican Republic,Dominican Republic,2013,35.322576,3600.599708,70,3697,0.009762475371339684,0.0019913377530687243,0.0058594388109890405,0.013665511931690327
Latin America & Caribbean,Caribbean,Haiti,Haiti,2016,3750.741588,6236.715391,4055,6453,0.5950339273218069,0.015981197892368106,0.5637106625687589,0.626357192074855
Latin America & Caribbean,Central America,Guatemala,Guatemala,2015,4307.4009320000005,12433.205532,4241,12377,0.3444713847940077,0.014201807658371923,0.3166357379137768,0.37230703167423856
Latin America & Caribbean,Central America,Honduras,Honduras,2011,1720.864011,10138.086398,2352,10842,0.16914895681457467,0.00749954618729308,0.1544497914369608,0.18384812219218855
Latin America & Caribbean,South America,Bolivia,Bolivia,2008,2797.648903,8686.990161,2597,8558,0.3205985032083871,0.014382474808885931,0.29240874739177725,0.348788259024997
Latin America & Caribbean,South America,Colombia,Colombia,2015,253.203614,9329.121318,471,9906,0.02702162960537239,0.0026297354823681994,0.021867328826452648,0.03217593038429213
Latin America & Caribbean,South America,Guyana,Guyana,2009,160.757018,1840.037848,375,2117,0.08522662162093557,0.010223169838547328,0.06518913396670178,0.10526410927516935
Latin America & Caribbean,South America,Peru,Peru,2012,1276.499659,8735.093599,1635,9543,0.14499210061413936,0.009189231231266266,0.12698114019224332,0.1630030610360354
Middle East & North Africa,North Africa,Egypt,Egypt,2014,2067.802012,15650.430216,1970,15831,0.13197660194398245,0.006065349664543318,0.12008847224044938,0.1438647316475155
Middle East & North Africa,North Africa,Morocco,Morocco,2003,2328.304802,6003.4653849999995,2549,6136,0.3853184764482397,0.016450345168297024,0.3530756796031005,0.4175612732933789
Middle East & North Africa,West Asia,Jordan,Jordan,2017,89.300525,9525.285729000001,107,10566,0.00928044882020223,0.00177865845617776,0.005794265237261316,0.012766632403143142
Middle East & North Africa,West Asia,Yemen,Yemen,2013,10879.942606,15611.055438,10589,15794,0.6887803007117185,0.01045951533228451,0.6682795741611655,0.7092810272622715
South Asia,South Asia,Afghanistan,Afghanistan,2015,16187.635862,31485.163578,17559,32204,0.5090190394160153,0.019662889336529137,0.4704796325050907,0.5475584463269401
South Asia,South Asia,Bangladesh,Bangladesh,2017,2670.485167,5320.496365,2636,5289,0.5002933955581851,0.012344920495304279,0.47609726109855194,0.5244895300178182
South Asia,South Asia,India,India,2015,52010.119727,249197.964041,63472,258838,0.20806796571662375,0.0018560235695151178,0.20443014594570516,0.21170578548754235
South Asia,South Asia,Maldives,Maldives,2016,16.094168,2625.164523,10,2970,0.005828139410775499,0.0026613119062831874,6.119486100373047e-4,0.011044330211513693
South Asia,South Asia,Nepal,Nepal,2016,2096.092305,4827.820898,2077,4828,0.4287434387843252,0.018660347126868,0.3921690219367748,0.4653178556318756
South Asia,South Asia,Pakistan,Pakistan,2017,3532.750321,10479.594707,4433,12679,0.3366400048397865,0.015994167233537,0.3052913200831917,0.3679886895963813
Sub-Saharan Africa,Eastern Africa,Burundi,Burundi,2016,1620.57165,13046.084214,1564,12633,0.11906464415760751,0.0057623060115551804,0.10777048223034555,0.13035880608486947
Sub-Saharan Africa,Eastern Africa,Comoros,Comoros,2012,704.341537,3167.7230419999996,714,3082,0.2177091783233387,0.015185611383283058,0.1879452689468939,0.2474730876997835
Sub-Saharan Africa,Eastern Africa,Ethiopia,Ethiopia,2016,7997.18916,10888.997593,7155,10525,0.725520513105771,0.01701037515960963,0.6921800533816865,0.7588609728298555
Sub-Saharan Africa,Eastern Africa,Kenya,Kenya,2014,7308.274531,19277.291528,9411,20661,0.3735653550743335,0.009650168421832847,0.3546509543877038,0.3924797557609633
Sub-Saharan Africa,Eastern Africa,Madagascar,Madagascar,2008,8081.826088,12558.637336,7871,12330,0.6370519527686954,0.014094600166635239,0.6094264333563675,0.6646774721810234
Sub-Saharan Africa,Eastern Africa,Malawi,Malawi,2015,1234.137765,17138.534696,1113,17045,0.07094716822750403,0.0047818745943754605,0.061574659048637875,0.0803196774063702
Sub-Saharan Africa,Eastern Africa,Mozambique,Mozambique,2011,5047.302329,11462.497961000001,4075,10861,0.43122803080055117,0.017555814445784523,0.39681850608630537,0.46563755551479696
Sub-Saharan Africa,Eastern Africa,Rwanda,Rwanda,2015,630.105329,7885.372489,589,7742,0.07872818712257428,0.005629228970346514,0.06769485716938617,0.08976151707576238
Sub-Saharan Africa,Eastern Africa,Tanzania,Tanzania,2015,3588.5363700000003,9879.340005,3756,10084,0.3570021237045715,0.015818261152223442,0.3259982161539011,0.3880060312552419
Sub-Saharan Africa,Eastern Africa,Uganda,Uganda,2016,3852.172428,15054.912802,4098,15288,0.2522628597241395,0.009372271110860279,0.23389313979951382,0.27063257964876514
Sub-Saharan Africa,Eastern Africa,Zambia,Zambia,2018,1481.604246,9731.490728,1634,9842,0.15055604377800286,0.009753304210818528,0.13143949619064196,0.16967259136536375
Sub-Saharan Africa,Eastern Africa,Zimbabwe,Zimbabwe,2015,1292.205112,6233.59044,1071,5960,0.201337310249363,0.013290164416097181,0.17528849079160813,0.22738612970711786
Sub-Saharan Africa,Middle Africa,Angola,Angola,2015,7096.358776,13188.938908,8046,14081,0.5313066103031362,0.016907479040140522,0.4981678277257774,0.564445392880495
Sub-Saharan Africa,Middle Africa,Cameroon,Cameroon,2018,3295.735873,10039.713600000001,2985,9711,0.32756977582944724,0.02236330557331691,0.2837375333439923,0.37140201831490216
Sub-Saharan Africa,Middle Africa,Chad,Chad,2014,14420.304128,18464.835658,14899,18467,0.7738391016993779,0.011579221113279413,0.7511437436287202,0.7965344597700356
Sub-Saharan Africa,Middle Africa,Congo,Congo,2011,647.284904,8119.521843,1292,9249,0.07922769433580927,0.008476879359903598,0.06261294879181532,0.09584243987980322
Sub-Saharan Africa,Middle Africa,Congo Democratic Republic,Congo Democratic Republic,2013,3441.301051,18127.854832,4575,18448,0.18712709943331268,0.014378963995016073,0.15894422483756526,0.2153099740290601
Sub-Saharan Africa,Middle Africa,Gabon,Gabon,2012,364.540141,4985.794706000001,972,5942,0.07117316631407064,0.007867626918233695,0.05575256001172771,0.08659377261641357
Sub-Saharan Africa,Middle Africa,Sao Tome and Principe,Sao Tome and Principe,2008,348.084702,1792.3037399999998,424,1892,0.18981781821693147,0.016675853438599456,0.15713302351266695,0.222502612921196
Sub-Saharan Africa,Southern Africa,Eswatini,Eswatini,2006,714.740035,2809.993152,716,2793,0.2528382324788308,0.013265528882986523,0.2268376988461533,0.2788387661115083
Sub-Saharan Africa,Southern Africa,Lesotho,Lesotho,2014,716.486622,3096.028581,780,3121,0.23025733124244888,0.012062473107198329,0.20661479572927985,0.2538998667556179
Sub-Saharan Africa,Southern Africa,Namibia,Namibia,2013,567.417113,4763.712393,695,5004,0.11811885071231518,0.008915628806519586,0.1006441530440084,0.13559354838062196
Sub-Saharan Africa,Southern Africa,South Africa,South Africa,2016,130.870587,3557.9907319999998,135,3532,0.03663798703892747,0.004112864187804361,0.028576743149979177,0.04469923092787576
Sub-Saharan Africa,Western Africa,Benin,Benin,2017,1971.661912,13416.336585,2036,13362,0.14451557875255475,0.011524107060254427,0.12192824462892167,0.1671029128761878
Sub-Saharan Africa,Western Africa,Burkina Faso,Burkina Faso,2010,5102.616424,15301.557598,4700,14970,0.33188241591106354,0.015167231831944818,0.3021545305896669,0.3616103012324602
Sub-Saharan Africa,Western Africa,Cote d'Ivoire,Cote d'Ivoire,2012,3047.931856,7349.6665140000005,3426,7649,0.4068390782435434,0.02059855674585157,0.36646575636702017,0.4472124001200666
Sub-Saharan Africa,Western Africa,Gambia,Gambia,2013,2892.841397,7842.959761,3375,8029,0.36589602810774485,0.022022378129926027,0.32273200590482665,0.40906005031066306
Sub-Saharan Africa,Western Africa,Ghana,Ghana,2014,1513.593579,5674.242547000001,1795,5860,0.26578086535273526,0.017507732303241,0.23146558198954012,0.30009614871593043
Sub-Saharan Africa,Western Africa,Guinea,Guinea,2018,3729.063405,7872.974705,3937,7937,0.47294641862779635,0.018493667388186922,0.4366986952871307,0.509194141968462
Sub-Saharan Africa,Western Africa,Liberia,Liberia,2013,2834.200429,6464.561191,3573,7547,0.4358953703500049,0.019092047358501636,0.398474817891064,0.47331592280894585
