RegionWorldBank,SubregionName,CountryName,SurveyYear,Residence,prop_dom,prop_dom_low,prop_dom_upp
East Asia & Pacific,Pacific Islands,Papua New Guinea,2017,urban,0.11963545990313304,0.048002057256122874,0.1912688625501432
East Asia & Pacific,Pacific Islands,Papua New Guinea,2017,rural,0.41831281612132803,0.378823918906262,0.4578017133363941
East Asia & Pacific,Southeast Asia,Cambodia,2014,urban,0.03943092531829297,0.0260529418512124,0.05280890878537353
East Asia & Pacific,Southeast Asia,Cambodia,2014,rural,0.18668276280890977,0.1604762502168481,0.21288927540097144
East Asia & Pacific,Southeast Asia,Indonesia,2012,urban,0.1919231261997183,0.16631475953348612,0.21753149286595047
East Asia & Pacific,Southeast Asia,Indonesia,2012,rural,0.5257817135404713,0.4956018691348372,0.5559615579461054
East Asia & Pacific,Southeast Asia,Myanmar,2016,urban,0.29678152479159287,0.22712472403303097,0.36643832555015476
East Asia & Pacific,Southeast Asia,Myanmar,2016,rural,0.7213477269274284,0.690347358396009,0.7523480954588478
East Asia & Pacific,Southeast Asia,Philippines,2017,urban,0.12102622616956624,0.09027677407948448,0.151775678259648
East Asia & Pacific,Southeast Asia,Philippines,2017,rural,0.25570273614729844,0.22412503897141864,0.2872804333231782
East Asia & Pacific,Southeast Asia,Timor-Leste,2016,urban,0.15887575460833248,0.12480912214560602,0.19294238707105893
East Asia & Pacific,Southeast Asia,Timor-Leste,2016,rural,0.6567143646410397,0.623329854395628,0.6900988748864514
Europe & Central Asia,Central Asia,Kyrgyz Republic,2012,urban,0,0,0
Europe & Central Asia,Central Asia,Kyrgyz Republic,2012,rural,0.0055162074425514525,4.990231519083942e-4,0.010533391733194512
Europe & Central Asia,Central Asia,Tajikistan,2017,urban,0.05820327443048186,0.038102963191468185,0.07830358566949552
Europe & Central Asia,Central Asia,Tajikistan,2017,rural,0.13142743523746922,0.10344907112262042,0.15940579935231802
Europe & Central Asia,Eastern Europe,Moldova,2005,urban,0,0,0
Europe & Central Asia,Eastern Europe,Moldova,2005,rural,0.012552022957661509,0.004914036632842716,0.0201900092824803
Europe & Central Asia,Southern Europe,Albania,2017,urban,0.0014734933181325088,-4.8647029419021746e-4,0.003433456930455235
Europe & Central Asia,Southern Europe,Albania,2017,rural,0.00817962065332732,0.0024391297409890704,0.013920111565665569
Europe & Central Asia,West Asia,Armenia,2016,urban,0.0023633655082436096,-0.0016516405232239132,0.006378371539711132
